band_name,album,song_name,lyrics,genius_url
Death Cab for Cutie,Asphalt Meadows (Acoustic),Asphalt Meadows (Acoustic),"Your kiss was a lonely prayer
When you slipped it into my mouth
I closed my eyes and held it in
And then I exhaled it out
The glow of the downtown lights
Casting shadows across your face
As if all the buildings knew
I could only know half of you

And I was a snake under your flowers
And I just wanted to disappear
Into the understory of your beauty
Never to reappear
But there's a name writ on your cast
Above the bruised and broken bones
That tells everybody that you meet
To whom the damage is owed

We rode a wave of white noise
Beneath the city sleeping
I saw the train doors closing
I felt your sorrow deepen
Here in the asphalt meadows
There's only one thing that grows
Finding the light through the concrete
Getting trampled under our feet

You said all your bridges and roads
They all lead to an airport
Planes drifting off into the sky
Always depart but never seem to arrive
And there in the early hour
Lying naked in your unmade bed
I was thinking of how to tell you
What my ticket read

Your kiss was a lonely prayer
A single candle slowly burning down
But the light, your light was beautiful
Within its here and now

We rode a wave of white noise
Beneath the city sleeping
I saw the train doors closing
I felt your sorrow deepen
Here in the asphalt meadows
There's only one thing that grows
Finding the light through the concrete
Getting trampled under our feet
We rode a wave of white noise
Beneath the city sleeping
I saw the train doors closing
I felt your sorrow deepen
Here in the asphalt meadows
There's only one thing that grows
Finding the light through the concrete
Getting trampled under our feet

Getting trampled under our feet
Getting trampled under our feet
Getting trampled under our feet",https://genius.com/Death-cab-for-cutie-asphalt-meadows-acoustic-lyrics
Death Cab for Cutie,Thank You for Today,Autumn Love,"No more lighthouses to deceive me
Just leave me floating on the open ocean
Let the moonlight take me anywhere on a tidal flow
And if I capsize, it's alright
'Cause I've been feeling too invincible
I need to know depths deeper than the deepest of connections

Oh oh oh oh oh
This autumn love
Oh oh oh oh oh
Is not enough

If there's no beacon tonight to guide me
I'll finally break the shackles of direction
And let the headlights lead me anywhere that they wanna go
I feel at home now out on a bough
In the lattice of the backbone
Where the highways are holding in the pieces of our broken hearts

Oh oh oh oh oh
This autumn love
Oh oh oh oh oh
Is not enough

Oh oh oh oh oh
This autumn love
Oh oh oh oh oh
Is not enough
Oh oh oh oh oh
This autumn love
Oh oh oh oh oh
Is not enough

Is not enough
Is not enough
Is not enough
Is not enough",https://genius.com/Death-cab-for-cutie-autumn-love-lyrics
Death Cab for Cutie,Plans,Bad Reputation,"I know I got a bad reputation
And it isn't just talk, talk, talk
If I could only give you everything
You know I haven't got
I couldn't have one conversation
If it wasn't for the lies, lies, lies
And still I want to tell you everything
Until I close my eyes
Suddenly I'm on the street
Seven years disappeared below my feet
Been breaking down, do you want me now?
Do you want me now?
Suddenly I'm down in Harold Square
Looking in a crowd your face is everywhere
Been turning around, do you want me now?
Do you want me now?
Don't try to be an inspiration
You're just wasting your time, time, time
You know I'm about the best I'll ever be
I see it in your eyes
I know I got a bad reputation
And it isn't just talk, talk, talk
If I could only give you everything
You know I haven't got
Suddenly I'm on the street
Seven years disappeared below my feet
Been breaking down, do you want me now?
Do you want me now?
Suddenly I'm in another place
Looking in the crowd
I think I see your face
Been turning around
Do you want me now?
Do you want me now?
Do you want me now?
Do you want me now?
Do you want me now?
Do you want me now?
Don't you think I've heard the talk
Nobody's going to tell me who to look
Been breaking down do you want me now?
Do you want me now?
Suddenly I'm in Harold Square
Looking in a crowd, your face is everywhere
Been turning around, do you want me now?
Do you want me now?
Do you want me now?
Do you want me now?
Do you want me now?
Do you want me now?
But I'm just breaking down, down, down, down, down
Been breaking down, down, down, down, down
Been breaking down, down, down, down, down
Been breaking down, down, down, down, down",https://genius.com/Death-cab-for-cutie-bad-reputation-lyrics
Death Cab for Cutie,The Blue EP,Before the Bombs,"Before the bombs
Before the walls came down
We would lie in the summer sun
Watching the clouds pass one by one
Before the fires
Before the spools of barbed wire
You said you would never forget
What pierces deeper than the bayonet?

There's only one thing that'll save this place
The only thing that they cannot face
There's only one thing that they cannot take
Love, love

Before the mobs
Before the inside jobs
Sleeping in on borrowed time
Too distracted for the minor crimes
Before the war
Before the troops came ashore
I held you deep in my arms
A fool to think that they could save you from harm

There's only one thing that'll save this place
The only thing that they cannot face
There's only one thing that they cannot take
Love, love
There's only one thing that'll save this place
The only thing that they cannot face
There's only one thing that they cannot take
Love, love
Love, love

Before the bomb

There's only one thing that'll save this place
The only thing that they cannot face
There's only one thing that they cannot take
Love, love
Love, love
Love, love
Love, love",https://genius.com/Death-cab-for-cutie-before-the-bombs-lyrics
Death Cab for Cutie,Something About Airplanes,Bend to Squares,"Gravitated towards a taste
For foreign films and modern plays
But that machine could only bend to squares five to six times
Before your fingers came unwired

Weights down so that you could move forwards, forwards
So you could move forwards, forwards

Pinch to snub that restless nerve
And knock the wind from one last urge
With two fingers in a rock glass
Time passed and that was that
Quite a slip, a loosened grasp

Weights down so that you could move forwards, forwards
So you could move forwards, forwards

Ooh-ooh, what a way to cut lengthwise
Ooh-ooh, what a way to cut lengthwise
Ooh-ooh, what a way to cut lengthwise
Ooh-ooh, what a way to cut lengthwise",https://genius.com/Death-cab-for-cutie-bend-to-squares-lyrics
Death Cab for Cutie,Kintsugi,Binary Sea,"Oh Atlas could not understand
The world was so much smaller than
The one he used to hold before
But the weight it brought him to the floor
As you watched him struggle to his feet
You took photos capturing his defeat
And messaged them to all your friends
And we all laughed at his expense
Oh come my love and swim with me
Out in this vast Binary Sea
Zeros and ones patterns appear
They'll prove to all that we were here
For if there is no document
We cannot build our monument
So look into the lens and
I'll make sure this moment never dies
Oh Atlas could not stay engaged
Was more distracted every day
You slowly fell into disarray
Just trying to think of something to say
For if there is no document
There cannot be a monument
So lean in close or lend an ear
There's something brilliant bound to happen here",https://genius.com/Death-cab-for-cutie-binary-sea-lyrics
Death Cab for Cutie,Narrow Stairs ,Bixby Canyon Bridge,"I descended a dusty gravel ridge
Beneath the Bixby Canyon Bridge
Until I eventually arrived
At the place where your soul had died
And barefoot in the shallow creek
I grabbed some stones from underneath
And waited for you to speak to me

In the silence, it became so very clear
That you had long ago disappeared
I cursed myself for being surprised
That this didn't play like it did in my mind
All the way from San Francisco
As I chased the end of your road
'Cause I've still got miles to go

And I want to know my fate
If I keep up this way
And it's hard to want to stay
Awake
When everyone you meet
They all seem to be asleep
And you wonder if you're missing your dream

You can't see a dream
You can't see a dream
You just can't see a dream

A dream
A dream
A dream
A dream
A dream
A dream
A dream
A dream
A dream
A dream
A dream
A dream

And then, it started getting dark
I trudged back to where the car was parked
No closer to any kind of truth
As I must assume was the case with you",https://genius.com/Death-cab-for-cutie-bixby-canyon-bridge-lyrics
Death Cab for Cutie,The Photo Album (Deluxe Edition),Blacking Out the Friction,"I don't mind the weather
I've got scarves and caps and sweaters
I've got long Johns under slacks for blustery days

I think that it's brainless to assume
That making changes to your window's view
Will give a new perspective

And the hardest part is yet to come

I don't mind restrictions
Or if you're blacking out the friction
It's just an escape, it's overrated anyways

The hardest part is yet to come
When you will cross the country alone",https://genius.com/Death-cab-for-cutie-blacking-out-the-friction-lyrics
Death Cab for Cutie,The Photo Album (Deluxe Edition),Blacking out the Friction (Band Demo),"I don't mind the weather
I've got scarves and caps and sweaters
I've got long Johns under slacks for blustery days

I think that it's brainless to assume
That making changes to your window's view
Will give a new perspective

And the hardest part is yet to come

I don't mind restrictions
Or if you're blacking out the friction
It's just an escape, it's overrated anyways

And the hardest part is yet to come
When you will cross the country alone",https://genius.com/Death-cab-for-cutie-blacking-out-the-friction-band-demo-lyrics
Death Cab for Cutie,The John Byrd EP,"Blacking Out the Friction/Brand New Love (The Wiltern, Los Angeles 5.21.04)","I don't mind the weather
I've got scarves and caps and sweaters
I've got long Johns under slacks for blustery days

I think that it's brainless to assume
That making changes to your window's view
Will give a new perspective

And the hardest part is yet to come

I don't mind restrictions
Or if you're blacking out the friction
It's just an escape, it's overrated anyway

The hardest part is yet to come
When you will cross the country
Alone

Restless eyes close, maybе it'll go away
Please rest tomorrow, bring a satisfying day
The restless urge of love that's worth the burning for
Surely it's that one love to give you more

Any thought could be the beginning of
The brand new tangled web you're spinning
Anyone could be your brand new love
Any tie that holds can be broken
Tear your bitter world to the open

Anyone could be your brand new love
You won't be the first, your twisted change is normal
Gossip dirt, whispered to the nodding heads
Thrilled you fell apart, instead of them
'Cause they will
Any hope for love can be killed
If you need a different face
It's definite time to destroy this place

Any thought could be the beginning of
The brand new tangled web you're spinning
Anyone could be your brand new love
Anyone could be your brand new love
Anyone could be your brand new love

Thanks for coming, guys
Thanks to Plus/Minus
Thanks to the Wiltern here
And we're Death Cab for Cutie from Seattle, Washington
Thanks for coming and making us feel welcome, thank you
Goodnight
Thanks, drive carefully everyone, goodnight",https://genius.com/Death-cab-for-cutie-blacking-out-the-friction-brand-new-love-the-wiltern-los-angeles-52104-lyrics
