,Unnamed: 0,band_name,album,song_name,song_lower,x,y,sentiment
65,314,Benjamin Gibbard,"Home, Vol 5 EP",Carolina,carolina,0.0015566831068368613,-0.007971469341951197,0.8392
66,315,Benjamin Gibbard,"Home, Vol 5 EP",Choir Vandals,choir vandals,-0.03557349779491104,0.06342056983969735,-0.8979
67,326,Benjamin Gibbard,"Home, Vol 5 EP",Farmer Chords,farmer chords,-0.009661234756813158,0.15617424198292065,-0.8555
68,72,Death Cab for Cutie,I Built You a Tower,Full of Stars,full of stars,0.008086934752491507,-0.04998677474593776,-0.9904
69,161,Death Cab for Cutie,I Built You a Tower,Riptides,riptides,0.010006313485175744,-0.05022534980813266,-0.9887
70,97,Death Cab for Cutie,Kintsugi,Ingénue,ingénue,-0.027490433374961668,-0.032040033308879466,0.7693
71,204,Death Cab for Cutie,Kintsugi,The Ghosts of Beverly Drive,the ghosts of beverly drive,-0.0066518925736957675,0.6118835623435821,0.7627
72,262,Death Cab for Cutie,Kintsugi,You’ve Haunted Me All My Life,you’ve haunted me all my life,-0.04930135636593636,-0.0486991435832666,-0.9865
73,136,Death Cab for Cutie,Kintsugi,No Room in Frame,no room in frame,0.017585026795481174,0.016052105250118593,0.5894
74,56,Death Cab for Cutie,Kintsugi,El Dorado,el dorado,-0.061657313733451215,-0.08615875208117207,0.5047
75,83,Death Cab for Cutie,Kintsugi,Hold No Guns,hold no guns,0.12498511168005444,-0.03788593866219839,-0.9727
76,58,Death Cab for Cutie,Kintsugi,Everything’s a Ceiling,everything’s a ceiling,0.0004977861195232192,-0.01072146140667814,0.8918
77,30,Death Cab for Cutie,Kintsugi,Black Sun,black sun,-0.050708906173080256,-0.07240727200702184,-0.9112
78,74,Death Cab for Cutie,Kintsugi,Good Help (Is So Hard to Find),good help (is so hard to find),0.011626422311705202,0.042723813221904175,-0.9941
79,25,Death Cab for Cutie,Kintsugi,Binary Sea,binary sea,0.005783478912986672,-0.09075846701518875,0.7289
80,121,Death Cab for Cutie,Kintsugi,Little Wanderer,little wanderer,-0.05587185252775241,-0.038817831988778265,0.9815
81,336,Benjamin Gibbard,Laggies (Original Motion Picture Soundtrack),It’s Never Too Late,it’s never too late,-0.04117954080198978,0.16023863451778625,-0.9802
82,36,Death Cab for Cutie,Maybe This Christmas Tree,Christmas (Baby Please Come Home),christmas (baby please come home),-0.03927239410225974,-0.01455035821241292,0.9815
83,152,Death Cab for Cutie,Narrow Stairs ,Pity and Fear,pity and fear,-0.021069762424775162,-0.04597443372398986,-0.9856
84,256,Death Cab for Cutie,Narrow Stairs ,You Can Do Better Than Me,you can do better than me,0.08019633887735464,0.0009487472086105446,0.9076
85,104,Death Cab for Cutie,Narrow Stairs ,I Will Possess Your Heart,i will possess your heart,0.24508841900347134,-0.0030451972731851576,0.9988
86,75,Death Cab for Cutie,Narrow Stairs ,Grapevine Fires,grapevine fires,-0.0533080354729438,-0.05548285113999936,-0.1406
87,122,Death Cab for Cutie,Narrow Stairs ,Long Division,long division,-0.03637296974249238,-0.06680740148542014,0.91
88,26,Death Cab for Cutie,Narrow Stairs ,Bixby Canyon Bridge,bixby canyon bridge,-0.046141468776676846,0.024185261783113865,0.9496
89,261,Death Cab for Cutie,Narrow Stairs ,Your New Twin Sized Bed,your new twin sized bed,-0.0499170155117822,-0.02905534670751747,-0.9541
90,34,Death Cab for Cutie,Narrow Stairs ,Cath...,cath...,-0.0677022986926839,0.031424637125615634,0.857
91,206,Death Cab for Cutie,Narrow Stairs ,The Ice Is Getting Thinner,the ice is getting thinner,-0.005505844171151043,-0.06290897470858609,-0.2425
92,141,Death Cab for Cutie,Narrow Stairs ,No Sunlight,no sunlight,-0.05248129923138889,-0.0545824495423313,-0.9792
93,194,Death Cab for Cutie,Narrow Stairs ,Talking Bird,talking bird,0.024784598642250487,0.10208306908196156,0.8732
94,234,Death Cab for Cutie,Ocean Child: Songs of Yoko Ono,Waiting for the Sunrise,waiting for the sunrise,-0.03511191049798809,-0.038386484799677496,0.9822
95,245,Death Cab for Cutie,Plans,What Sarah Said,what sarah said,0.07275053925773031,-0.0562450230746583,-0.976
96,51,Death Cab for Cutie,Plans,Different Names for the Same Thing,different names for the same thing,-0.02722583563827659,-0.05475907563160075,-0.9125
97,126,Death Cab for Cutie,Plans,Marching Bands of Manhattan,marching bands of manhattan,0.21424927724462975,-0.08627976155801964,0.9662
98,259,Death Cab for Cutie,Plans,Your Heart Is an Empty Room,your heart is an empty room,0.015456386213650418,0.11267872091651181,0.9114
99,44,Death Cab for Cutie,Plans,Crooked Teeth,crooked teeth,-0.03896288699904104,0.03967821507473833,-0.966
100,198,Death Cab for Cutie,Plans,Talking Like Turnstiles,talking like turnstiles,0.08806302889575521,0.061668922645474515,0.9722
101,32,Death Cab for Cutie,Plans,Brothers on a Hotel Bed,brothers on a hotel bed,-0.03730238019595712,-0.062353706557897556,0.9552
102,191,Death Cab for Cutie,Plans,Summer Skin,summer skin,0.0052270010711834595,-0.046421278947432976,0.1027
103,109,Death Cab for Cutie,Plans,Jealousy Rides with Me,jealousy rides with me,-0.06230433888070738,-0.0010990191826232227,-0.8133
104,170,Death Cab for Cutie,Plans,Someday You Will Be Loved,someday you will be loved,0.00017744620490626632,-0.04805224926058601,0.9983
105,173,Death Cab for Cutie,Plans,Soul Meets Body,soul meets body,-0.029517308866049696,0.031237937056206425,0.9643
106,22,Death Cab for Cutie,Plans,Bad Reputation,bad reputation,0.017276449779532622,0.36478608027520865,0.7689
107,180,Death Cab for Cutie,Plans,Start Again,start again,-0.038768156395037175,0.38890080162228013,0.1884
108,178,Death Cab for Cutie,Plans,Stable Song,stable song,-0.09764821865908273,-0.11574278911548262,-0.6793
109,157,Death Cab for Cutie,Prove My Hypotheses / Wait,Prove My Hypotheses,prove my hypotheses,-0.12188020253987235,-0.07071434012094599,-0.6808
110,351,Benjamin Gibbard,Proxima B / Filler,Proxima B,proxima b,-0.023464508784328122,-0.03278322473556506,-0.5106
111,327,Benjamin Gibbard,Proxima B / Filler,Filler,filler,-0.03338525097231033,-0.039984001524417175,-0.9313
112,110,Death Cab for Cutie,Score! 20 Years of Merge Records: The Covers!,Kicked In,kicked in,-0.0397618866875627,-0.07748221720313891,0.9786
113,328,Benjamin Gibbard,Shrinking: Season 1 (Apple TV+ Original Series Soundtrack),Frightening Fishes (Main Title Theme from ”Shrinking”),frightening fishes (main title theme from ”shrinking”),0.010019470802710487,0.03882310275308271,-0.9618
114,183,Death Cab for Cutie,Something About Airplanes,State Street Residential,state street residential,-0.08646282765913477,-0.06258585195919561,0.5868
